genome_ID	OTU	NCBI_ID	novelty_category
ack	1	1872122	known_strain
fnn	2	657445	known_strain
park	3	2005393	known_strain
lcar	4	2749961	known_strain
mot	5	2738409	known_strain
hhr	6	210	known_strain
gbi	7	1810504	known_strain
kvq	8	244366	known_strain
mdv	9	114527	known_strain
splu	10	1355015	known_strain
ahn	11	565	known_strain
bad	12	1680	known_strain
ecor	13	539	known_strain
tfe	14	2571116	known_strain
mcap	15	2095	known_strain
mhol	16	152142	known_strain
lyt	17	72226	known_strain
mts	18	2033	known_strain
aad	19	405212	known_strain
dek	20	2045199	known_strain
hrb	21	80842	known_strain
plr	22	235572	known_strain
bsd	23	138336	known_strain
bamf	24	1390	known_strain
sfj	25	61651	known_strain
ccl	26	288965	known_strain
esr	27	39492	known_strain
seno	28	28901	known_strain
pqi	29	2056231	known_strain
kbs	30	2509675	known_strain
bgg	31	1331682	known_strain
pgm	32	189425	known_strain
baj	33	9	known_strain
asei	34	1530123	known_strain
pof	35	1886797	known_strain
cira	36	76862	known_strain
pom	37	1920175	known_strain
cbg	38	777	known_strain
rpz	39	782	known_strain
bhud	40	109472	known_strain
mro	41	1134405	known_strain
ska	42	1967	known_strain
bla	43	28025	known_strain
lva	44	1633	known_strain
paze	45	2842350	known_strain
sue	46	1280	known_strain
lax	47	83655	known_strain
mmas	48	35	known_strain
aori	49	31958	known_strain
bot	50	931866	known_strain
smic	51	335406	known_strain
apb	52	767891	known_strain
dew	53	2005070	known_strain
dzc	54	204042	known_strain
tav	55	1936021	known_strain
chi	56	83554	known_strain
bya	57	1390	known_strain
tpyo	58	1661	known_strain
ssyr	59	216945	known_strain
amd	60	33910	known_strain
ttw	61	307486	known_strain
pmos	62	1306993	known_strain
mhg	63	158847	known_strain
ply	64	235572	known_strain
atb	65	1872650	known_strain
apag	66	728	known_strain
ldl	67	1584	known_strain
pfq	68	82985	known_strain
slim	69	1620215	known_strain
cper	70	85991	known_strain
bper	71	520	known_strain
ssob	72	1310	known_strain
bsq	73	1423	known_strain
yal	74	29483	known_strain
bpsc	75	28026	known_strain
elac	76	357441	known_strain
chrm	77	2605945	known_strain
dly	78	552810	known_strain
lpaa	79	2749962	known_strain
sya	80	13690	known_strain
hmr	81	84405	known_strain
cuo	82	2487892	known_strain
mve	83	85404	known_strain
ahs	84	197482	known_strain
pdc	85	1496	known_strain
agn	86	198467	known_strain
pvg	87	585	known_strain
fpf	88	2715131	known_strain
efk	89	1263978	known_strain
acht	90	1727145	known_strain
sbat	91	2710756	known_strain
spsy	92	1476	known_strain
dmy	93	61435	known_strain
fsa	94	236753	known_strain
mgo	95	134601	known_strain
