size,tool,walltime,cputime,max_rss,avg_rss
0.0,diamond_fast,20796.86366200447,1021811.6,17914064.0,0.0
0.0,"sourmash,k=11",209.21919870376587,6450.62,322828.0,0.0
0.0,"sourmash,k=15",215.06804537773127,0.0,332508.0,0.0
0.01,diamond_fast,19728.13162684441,941215.51,17349688.0,0.0
0.01,"sourmash,k=11",285.05250787734985,8455.2,348924.0,0.0
0.01,"sourmash,k=15",289.09159660339355,0.0,367284.0,0.0
0.02,diamond_fast,18769.448287963867,892079.95,17341916.0,0.0
0.02,"sourmash,k=11",342.2286469936371,9878.22,369144.0,0.0
0.02,"sourmash,k=15",341.31957268714905,0.0,382772.0,0.0
0.03,diamond_fast,17923.892195224762,842437.8799999999,17163948.0,0.0
0.03,"sourmash,k=11",380.5906255245209,11006.82,392252.0,0.0
0.03,"sourmash,k=15",371.8939311504364,0.0,406460.0,0.0
0.04,diamond_fast,17053.714785337448,773713.5499999999,17172536.0,0.0
0.04,"sourmash,k=11",409.2169964313507,11690.95,403516.0,0.0
0.04,"sourmash,k=15",386.5920746326447,0.0,414216.0,0.0
0.05,diamond_fast,16552.306669950485,746430.72,16964848.0,0.0
0.05,"sourmash,k=11",426.3453469276428,12269.05,409884.0,0.0
0.05,"sourmash,k=15",391.13000655174255,0.0,420364.0,0.0
