size,tool,walltime,cputime,max_rss,avg_rss
0.0,diamond_fast,35.68789419154216,3116.477751850915,512657.30175541673,0.0
0.0,"sourmash,k=11",17.304399980297497,16.97566767430683,13596.717687076865,0.0
0.0,"sourmash,k=15",17.907106330464703,18.08206212174687,14022.310819449169,0.0
0.01,diamond_fast,35.01072644412742,3082.9887770772093,376156.9438281859,0.0
0.01,"sourmash,k=11",23.17336574413733,23.660104701432715,4804.548015868046,0.0
0.01,"sourmash,k=15",24.603579621312015,24.66820350912924,6711.666485761339,0.0
0.02,diamond_fast,33.817568900082875,2988.1621288481483,394174.5158441208,0.0
0.02,"sourmash,k=11",29.957241180592753,29.803921791232955,27210.356542544865,0.0
0.02,"sourmash,k=15",30.60286615297427,30.493216468170623,8028.111071398584,0.0
0.03,diamond_fast,30.032471808824617,2753.943481453627,358439.9252521772,0.0
0.03,"sourmash,k=11",33.12445635091176,34.22301014592778,12876.849643993786,0.0
0.03,"sourmash,k=15",32.19639460233618,32.11939342551458,10024.950472775872,0.0
0.04,diamond_fast,23.724314992550568,2291.5424450618407,445369.6153672764,0.0
0.04,"sourmash,k=11",35.13235159563441,35.95974238365523,8066.908694763775,0.0
0.04,"sourmash,k=15",33.98693445840902,35.36763528145893,5936.879006702923,0.0
0.05,diamond_fast,24.567833262273975,2445.7170403763466,305685.70076356264,0.0
0.05,"sourmash,k=11",35.26399615590436,34.2846185159119,7076.126175752691,0.0
0.05,"sourmash,k=15",31.433264675564207,30.830981919036475,24005.929546820247,0.0
