num_novel_genomes,tool,walltime,cputime,max_rss,avg_rss
0,diamond_fast,32.1558100809097,2654.005696547797,209382.19269088315,0.0
0,"sourmash,k=11",22.503341301574896,22.583373547578624,6641.015810060517,0.0
0,"sourmash,k=15",22.8984267728125,23.973274264216975,4642.203338025909,0.0
2,diamond_fast,37.57609951609639,3244.4700638123845,225866.40261227553,0.0
2,"sourmash,k=11",24.1107288999462,24.700426008472014,5260.049005174956,0.0
2,"sourmash,k=15",24.522908425696418,24.917555236165693,5396.956896934456,0.0
4,diamond_fast,48.18938423392955,3009.0526838532114,231774.37929076867,0.0
4,"sourmash,k=11",23.442145879785286,23.987641664648464,4277.171244249124,0.0
4,"sourmash,k=15",23.563221104263835,25.23096186392717,5173.4308884815255,0.0
8,diamond_fast,37.285277241758564,3370.987998867768,221552.98650219565,0.0
8,"sourmash,k=11",23.00033830466135,23.106857600242723,4260.95364171474,0.0
8,"sourmash,k=15",23.8461542112631,24.408118337747258,6118.766218945221,0.0
16,diamond_fast,32.087536791663474,2744.1288400519757,237781.26947224326,0.0
16,"sourmash,k=11",23.87319425366,24.371119334810604,5160.326595131472,0.0
16,"sourmash,k=15",24.536527979610263,24.359343371151937,5551.876424379315,0.0
32,diamond_fast,40.14906137788277,3574.2525960182456,259064.5647560713,0.0
32,"sourmash,k=11",23.452604358286703,24.465214058891235,4263.432054602316,0.0
32,"sourmash,k=15",22.523386900896003,23.367199886300355,6026.400790207248,0.0
