num_genomes,tool,purity,completeness,kendalltau,pearsonr_common,pearsonr_all,wt_purity,wt_completeness,kl_div_common_gt_to_pred,kl_div_common_pred_to_gt,bray_curtis
1,diamond_fast,0.7729520944501291,0.9999643944028469,1.0,0.29783890678496666,0.3750910054828106,0.9378763073970582,0.9999943797882783,0.43149847736648367,0.3511433588158699,0.3169396873220907
1,diamond_sensitive,0.754900976217928,0.9999643944028469,1.0,0.2958127881475085,0.3728521352481529,0.9277865771951177,0.9999943797882781,0.43992219517581105,0.35609242963624527,0.319199594636865
1,"sourmash,k=11",0.9484871278608026,0.35976714062176685,1.0,0.6072875873971627,0.5430015108968883,0.9599385504058431,0.4964742546756485,0.18770292490183127,0.18464965256699756,0.2384848427163949
1,"sourmash,k=15",0.9780724021708772,0.33228604482272145,1.0,0.5928361331212435,0.5432637116807888,0.981747081176868,0.46770378978203575,0.18572568894527566,0.18368969790386164,0.23861649457504455
2,diamond_fast,0.7947262432843941,0.9967088518737459,1.0,0.22383348173950857,0.25800720629625873,0.9076082719760414,0.9999456293919279,0.8733661719037655,0.7706679705682663,0.4238336578045363
2,diamond_sensitive,0.7766158204386724,0.9967429210412743,1.0,0.2215350421688213,0.2586311212030733,0.8988010469790022,0.9999463205355318,0.8807501589993592,0.778125337241097,0.4258223526097988
2,"sourmash,k=11",0.9626262345371527,0.353028582265482,1.0,0.6150249768423788,0.5738840807344155,0.9722043466673633,0.5368268415171705,0.2670755497025847,0.33288692673052883,0.28021252939868335
2,"sourmash,k=15",0.9832867676450738,0.3253570987491743,1.0,0.6046131852549378,0.5715675085751033,0.9866433521759387,0.5080388337014875,0.26353677927524166,0.3240497183464381,0.27871669943678506
4,diamond_fast,0.8270933155859832,0.9946486358603552,1.0,0.2496351143293924,0.27322678697750147,0.9174584923140309,0.999932942254087,1.0049862733192132,0.8805936279692322,0.45858073565685337
4,diamond_sensitive,0.810817186080675,0.9947350456476975,1.0,0.24814645674786673,0.27280588858065724,0.9086792671369355,0.999933929739183,1.0107540112253208,0.8866975790969452,0.45976307245158227
4,"sourmash,k=11",0.9779599458533255,0.36115124593220477,1.0,0.6370820582596077,0.613050608354902,0.9847074887055141,0.5893752942352792,0.28822624119938633,0.36234295767429686,0.2899036788109021
4,"sourmash,k=15",0.9904995113901185,0.3318999896716,1.0,0.6294959913807829,0.605553584178893,0.9928853447423358,0.5583394806906433,0.288014456387653,0.36017847728152136,0.2897514266968499
8,diamond_fast,0.8511272630578517,0.9911364628351822,1.0,0.27237918422078944,0.29013610656662925,0.9385857828994294,0.9998919540777128,1.0664890602177968,0.9360065138621517,0.4771776701463451
8,diamond_sensitive,0.8372064648868204,0.9912654522729579,1.0,0.27095281131361637,0.2900162365216433,0.9311983306815939,0.9998913014160916,1.0711757763896088,0.9397861689540911,0.4787777071789873
8,"sourmash,k=11",0.9857433229251906,0.35205254677062037,1.0,0.6599301904596286,0.6526060311716215,0.9909447002898201,0.6358869680462351,0.30239490232279226,0.37332161391519064,0.2979667256628207
8,"sourmash,k=15",0.9936930626738782,0.3157898403748542,1.0,0.6530866279486329,0.6460143023496377,0.9956086842689608,0.6002492440203749,0.2972665693682643,0.36476655546475323,0.296318067634666
16,diamond_fast,0.8701939903178838,0.989408387800459,1.0,0.29126022918031685,0.3093431429956645,0.9555080503328958,0.9998443515930469,1.0213719722899173,0.8929397151456692,0.47639483014256145
16,diamond_sensitive,0.8564087586223659,0.989710063373504,1.0,0.29012668196765373,0.3082805618392038,0.9484556782154627,0.9998472406193347,1.0250810492202982,0.8974387183856036,0.4777442557300086
16,"sourmash,k=11",0.9884227013142411,0.35417267684635156,1.0,0.703188813665159,0.7005860378665121,0.9931707506944837,0.6751413531288998,0.27658766948324504,0.33205851956494015,0.2846200197601495
16,"sourmash,k=15",0.9952407012895048,0.3151893301738202,1.0,0.6897584984589629,0.6879913779011478,0.9968040557962538,0.6355132057767198,0.2760168363869976,0.33250008916631096,0.2854262084572536
32,diamond_fast,0.8896571095799035,0.9870938001352932,1.0,0.3129990094667894,0.32754248149306325,0.9658349035626677,0.9997946109645091,1.0037445793665025,0.8896219551307616,0.4753627955093567
32,diamond_sensitive,0.8778844797708648,0.9873228797142376,1.0,0.3108781961275518,0.3267951727911484,0.9615813113402853,0.9997988627322313,1.0088492875759432,0.8915899181607656,0.4766057377028137
32,"sourmash,k=11",0.9911424983625955,0.3518759530889101,1.0,0.7503617314357256,0.744089553488589,0.9950328518898918,0.6978880634121504,0.25213734384629616,0.308079057874056,0.27137198833810094
32,"sourmash,k=15",0.9963400249336328,0.30964014028932973,1.0,0.7308396137914402,0.7299108882179758,0.9977095682207414,0.6563140498727864,0.2512997453241433,0.30604265225957056,0.2720023022536448
64,diamond_fast,0.9058445715662438,0.9869924952332894,1.0,0.3318221144284835,0.34594021449215634,0.9771211571394184,0.999763565948592,0.9217975016562796,0.7963882549447233,0.46064319116144203
64,diamond_sensitive,0.895820085075077,0.9872865201103608,1.0,0.32888068982133595,0.3441273043227261,0.9740565726629958,0.9997712976644034,0.9276179831097331,0.8072502162924684,0.4621619943308811
64,"sourmash,k=11",0.993012188722869,0.3558684209582005,1.0,0.762617710850337,0.7599486568176885,0.9962666730310022,0.7206365554334186,0.24092770172275169,0.28241260849618716,0.263823236004632
64,"sourmash,k=15",0.9969032837021709,0.3109934775037841,1.0,0.7437696203690103,0.743600638340081,0.998199529030209,0.6742498122002561,0.24472523889942294,0.2905980620115818,0.26808533884741265
128,diamond_fast,0.9158702106418893,0.9862585880971102,1.0,0.3592922720547239,0.3722972168544366,0.9819168374430997,0.9997242580773665,0.8492813865739754,0.7326398191003248,0.4495195831058154
128,diamond_sensitive,0.9062433324352491,0.9866145407886485,1.0,0.35804116106389655,0.37224169135095864,0.9794376658592338,0.9997314921830714,0.8540487409711802,0.7387425826906643,0.45097471052193866
128,"sourmash,k=11",0.9943773279950392,0.3619820498169346,1.0,0.7943792392851925,0.7929085590857633,0.99720629711233,0.7413215624784624,0.21701854723890449,0.24882081949183418,0.24912461464911095
128,"sourmash,k=15",0.997363792962646,0.31496326603917696,1.0,0.7752141174649396,0.773566687535879,0.9985052967073997,0.6917547924011752,0.22310764073041095,0.26134446851671245,0.2557041055029917
256,diamond_fast,0.9248267018989068,0.9862661238830962,1.0,0.37333180483788453,0.3854671841072643,0.9868325837270051,0.9997050729565541,0.8173244750879995,0.6964458745324191,0.4443106924900478
256,diamond_sensitive,0.9159662215209744,0.9866038230234381,1.0,0.371160351912997,0.3841302342028384,0.984554645961323,0.9997134513170413,0.8243963901161494,0.7034506628997629,0.446193877260607
256,"sourmash,k=11",0.9954689237379679,0.3641677523935804,1.0,0.8158578624909049,0.8138069771617543,0.9978651270926374,0.7542182658334632,0.203083041478429,0.23103671870625286,0.24011888280845706
256,"sourmash,k=15",0.9982166006745775,0.31445135880936137,1.0,0.788363780635859,0.7895260950827308,0.9990419053909921,0.7037177411589464,0.21582607590197386,0.24983026951761314,0.2500369773250866
512,diamond_fast,0.9311929670965717,0.985495913239757,1.0,0.3816786301996654,0.3932974593042466,0.9893563284504464,0.9996809362054602,0.7898735470563133,0.6668295412785048,0.43929351603633393
512,diamond_sensitive,0.9233927620403779,0.9859100356549413,1.0,0.37792736360007884,0.3905087284060562,0.9874701436181514,0.99969016783623,0.7969634850066553,0.6752146953674449,0.4411612534864742
512,"sourmash,k=11",0.9952019993820295,0.36500537403053707,1.0,0.8262959594446674,0.8246053778039146,0.9978204430691769,0.7600812597006413,0.19396989455076097,0.219811576773385,0.2341698779341409
512,"sourmash,k=15",0.9985709125134352,0.3146979952564825,1.0,0.7996886324308343,0.7987735393732278,0.9992647643517623,0.7060441873460281,0.21079182347214645,0.24394347505704542,0.24690853577827332
1024,diamond_fast,0.9365088085335923,0.9855309417066432,1.0,0.40350534841355395,0.4146634360984919,0.9915861396718736,0.9996698506200101,0.7422326005799391,0.6187172546997555,0.4287367061996983
1024,diamond_sensitive,0.9287129249570492,0.9859733745749751,1.0,0.40035243684124483,0.4124439358241797,0.9898258497538174,0.9996804920484886,0.7482449760364921,0.6244600455630216,0.43033827347320824
1024,"sourmash,k=11",0.9959857621357341,0.36839746007280505,1.0,0.8370140136063827,0.8349099284297785,0.9982320879641108,0.7664399519272601,0.1847339945445588,0.2081709331622121,0.22859345934767838
1024,"sourmash,k=15",0.9984631316380319,0.3145676699847803,1.0,0.8045631392418836,0.8054787516315853,0.9992186871846178,0.7107230756399092,0.2032976531659015,0.2338178207603844,0.24263506873968313
