size,tool,purity,completeness,kendalltau,pearsonr_common,pearsonr_all,wt_purity,wt_completeness,kl_div_common_gt_to_pred,kl_div_common_pred_to_gt,bray_curtis
0.1,diamond_fast,0.014882471553599093,0.004838163491583734,3.172065784643304e-17,0.09378320607987295,0.09467159243423189,0.012629797805761537,6.381723551634731e-05,0.31963252640507933,0.3181027968199303,0.061071450085080525
0.1,"sourmash,k=11",0.0036168495300402817,0.040288549122189904,1.1214946133455537e-16,0.07730855001669994,0.06627442486377057,0.0023713749430482535,0.038174195183982566,0.05515372043892814,0.09533709559034995,0.031228565670097012
0.1,"sourmash,k=15",0.0020168003156116644,0.03704348376677911,1.1102230246251565e-16,0.0901657630116459,0.07128811877496419,0.0016079590094220037,0.0382566300159085,0.049319518689249164,0.08246824392093158,0.02636291909182832
0.2,diamond_fast,0.01468298113378942,0.0039348660008660975,5.49417910395304e-17,0.09492377972032781,0.09544309710433524,0.010445151524750569,3.3252183080882424e-05,0.34177747361522914,0.3453120318135292,0.061830704123857
0.2,"sourmash,k=11",0.003537314554079672,0.04852623330176763,3.172065784643304e-17,0.07655726215251518,0.06815666729484589,0.002197749132845376,0.03845523161978266,0.07289508896572634,0.11925455864464865,0.04035578756230381
0.2,"sourmash,k=15",0.0019112181630039633,0.04789434301824591,1.1214946133455537e-16,0.08927525143316489,0.07291227743040705,0.0015971778003801237,0.04138450736948639,0.06713037013903077,0.11072942473829918,0.03669962780029608
0.4,diamond_fast,0.014791160091528314,0.0030843768928464077,1.1214946133455537e-16,0.09397565867856979,0.09437962658389844,0.009970004811369669,1.9101029575398705e-05,0.34593388498513156,0.357240688255162,0.06072255599278624
0.4,"sourmash,k=11",0.0034939845919842367,0.04947911319530995,4.485978453382214e-17,0.0766793521522646,0.06941978329604857,0.0019429297169687146,0.030987516809877158,0.08731823694627812,0.13718347966797395,0.04672732054522909
0.4,"sourmash,k=15",0.001758569268681949,0.05201016513206147,4.485978453382214e-17,0.08664661159943858,0.07348266431832995,0.0014631865606559995,0.03661403499983943,0.08239937352436623,0.13296019790596253,0.04471882664985636
0.8,diamond_fast,0.014772662541230197,0.002399329229376048,1.1214946133455537e-16,0.0945954661483853,0.09536345672950167,0.011366547998540142,1.5990865664940874e-05,0.3447760253079184,0.3720903615190849,0.06002171873588626
0.8,"sourmash,k=11",0.0038555664207879257,0.047652239756206485,1.1214946133455537e-16,0.07505162969102196,0.06937921151894885,0.0017487973780148508,0.022799730411032205,0.09609114270974731,0.1452286187362064,0.050377314637883704
0.8,"sourmash,k=15",0.0014727513734078444,0.051571629709789645,7.092954723563637e-17,0.08094994588037023,0.0711160029683203,0.0011929788309029323,0.028194500820653837,0.09167531542972965,0.14651079465629474,0.049639626959793355
1.6,diamond_fast,0.014876166795928446,0.0019850668044456995,1.098835820790608e-16,0.09509135206190536,0.09604281749614695,0.011435521600918486,1.5194653798685176e-05,0.3460162515373521,0.3787024231646787,0.05976428887599456
1.6,"sourmash,k=11",0.004941227436668109,0.04406870640721736,1.1214946133455537e-16,0.07502350492050398,0.07026723574884346,0.0018459726087583686,0.01661209242316701,0.10232075256921118,0.15163002663144548,0.05295173943619907
1.6,"sourmash,k=15",0.001468414122911426,0.049007572769979524,1.1214946133455537e-16,0.0773597231559081,0.06979925346482185,0.0010115260430739867,0.020339350787070814,0.09953934417827183,0.15426910229400498,0.05254735023849729
3.2,diamond_fast,0.01793236675526343,0.0017548631262653367,1.0352883086820628e-16,0.08878208110799013,0.08976793186295237,0.010275544739215416,1.7993390982348502e-05,0.3410915116825226,0.3268334118695074,0.05726128884379294
3.2,"sourmash,k=11",0.006784406544081771,0.04149419186528562,8.599750569898517e-17,0.07644383867028577,0.07322907997613341,0.0021443334546108897,0.016288598624971264,0.1050655180520301,0.15640374335705254,0.05240111657400964
3.2,"sourmash,k=15",0.0013654894617397078,0.04466211558615483,1.1102230246251565e-16,0.08159945953278876,0.07595995529318587,0.0010829859324529415,0.019222174831120403,0.102742212658674,0.16123484570722765,0.052386897612970315
6.4,diamond_fast,0.0226704080925076,0.0014869866499935018,1.2161883888976234e-16,0.06800049515615979,0.06953996817234376,0.010115894447739786,1.1746142930015294e-05,0.3612089353506843,0.4462416719150835,0.04872117091370288
6.4,"sourmash,k=11",0.012614900809102872,0.060433061463847575,1.1102230246251565e-16,0.09482158255461333,0.10838573862636007,0.0034631455869198707,0.02005543078324227,0.16243992805590676,0.27574156089177415,0.07710492780031707
6.4,"sourmash,k=15",0.001688699578027437,0.0642919168644671,0.0,0.10646008345921584,0.1155078877807442,0.001722109578019431,0.024998267004192293,0.1574936523390019,0.28340945433327597,0.0752966567554842
